INEX_LD-20120111	vietnam war movie
INEX_LD-20120112	vietnam war fact
INEX_LD-20120121	vietnam food recipe
INEX_LD-20120122	viet food blog
INEX_LD-20120131	vietnam travel national park
INEX_LD-20120132	vietnam travel airport
INEX_LD-20120211	guitar chord tune
INEX_LD-20120212	guitar chord minor
INEX_LD-20120221	guitar classical flamenco
INEX_LD-20120222	guitar classical bach
INEX_LD-20120231	guitar origin russia
INEX_LD-20120232	guitar origin blues
INEX_LD-20120311	tango culture movies
INEX_LD-20120312	tango culture country
INEX_LD-20120321	tango music composer
INEX_LD-20120322	tango music instrument
INEX_LD-20120331	tango dance style
INEX_LD-20120332	tango dance history
INEX_LD-20120411	bicycle sport races
INEX_LD-20120412	bicycle sport discipline
INEX_LD-20120421	bicycle holiday town
INEX_LD-20120422	bicycle holiday nature
INEX_LD-20120431	bicycle benefit health
INEX_LD-20120432	bicycle benefit environment
INEX_LD-20120511	female rock singe
INEX_LD-20120512	south korea girl group
INEX_LD-20120521	electronic music genre
INEX_LD-20120522	digital music notation format
INEX_LD-20120531	music conference
INEX_LD-20120532	intellectual property rights lobby
INEX_LD-2009022	szechwan dish food cuisine
INEX_LD-2009039	roman architecture
INEX_LD-2009053	finland car industry manufacturer saab sisu
INEX_LD-2009061	france second world war normandy
INEX_LD-2009062	social network group selection
INEX_LD-2009063	d day normandy invasion
INEX_LD-2009074	web ranking score algorithm
INEX_LD-2009096	eiffel
INEX_LD-2009111	europe solar power facility
INEX_LD-2009115	virtual museum
INEX_LD-2010004	indian food
INEX_LD-2010014	composer museum
INEX_LD-2010019	gallo roman architecture paris
INEX_LD-2010020	electricity source france
INEX_LD-2010037	social network api
INEX_LD-2010043	list film surrealist category
INEX_LD-2010057	einstein relativity theory
INEX_LD-2010069	summer flower
INEX_LD-2010100	house concrete wood
INEX_LD-2010106	organic food advantage disadvantage
INEX_LD-2012301	niagara falls origin lake
INEX_LD-2012303	valley fever fungal infection san joaquin
INEX_LD-2012305	north dakota lowest river colour
INEX_LD-2012307	july 1850 president die millard fillmore sworn following day
INEX_LD-2012309	resident small island city state malay peninsula china
INEX_LD-2012311	john lennon yoko ono album start
INEX_LD-2012313	john turturro 1991 coen brother film
INEX_LD-2012315	baguio quezon city manila official independence 1945
INEX_LD-2012317	daggeroso inclined use dagger novel son lovers
INEX_LD-2012318	direct bela glen glenda bride monster plan 9 outer space
INEX_LD-2012319	1994 short story collection alice munro open
INEX_LD-2012321	asia port state city sir stamford raffle
INEX_LD-2012323	large glacier island nation langjokull hofsjokull vatnajokull
INEX_LD-2012325	successor james g blaine studied law
INEX_LD-2012327	beloved author africa america nobel prize literature
INEX_LD-2012329	sweden iceland currency
INEX_LD-2012331	seoul korea river name ethnic group china
INEX_LD-2012333	prime minister canada nickname silver tongue laurier longest unbroken term
INEX_LD-2012335	us president authorise nuclear weapon japan
INEX_LD-2012336	1906 territory papua island australia
INEX_LD-2012337	texas city baylor university tornado 1953
INEX_LD-2012339	nelson mandela john dube
INEX_LD-2012341	1997 houston airport president
INEX_LD-2012343	heart woman poet autobiography
INEX_LD-2012345	kennedy assassinate governor texas seriously injure
INEX_LD-2012347	seat florida country dade
INEX_LD-2012349	alexander nevsky cathedral bulgaria city liberation turk
INEX_LD-2012351	indian cuisine dish rice dhal vegetable roti papad
INEX_LD-2012353	country germany language
INEX_LD-2012354	greatest guitarist
INEX_LD-2012355	england football player highest paid
INEX_LD-2012357	prima ballerina bolshoi theatre 1960
INEX_LD-2012359	bob rick executive director latest group anti gun movement
INEX_LD-2012361	famous award winning actor singe
INEX_LD-2012363	america twin famous america professional tennis double player
INEX_LD-2012365	mathematician computer scientist mit six inaugural macvicar faculty fellow
INEX_LD-2012367	invent telescope
INEX_LD-2012369	famous civic military airport
INEX_LD-2012371	beautiful railway station world city located
INEX_LD-2012372	famous historical battlefield opponent fought
INEX_LD-2012373	bird fly
INEX_LD-2012375	animal lay egg mammal
INEX_LD-2012377	allegedly cause world war i
INEX_LD-2012379	pair city language longitude different country
INEX_LD-2012381	movie director direct block buster
INEX_LD-2012383	famous computer scientist disappear sea
INEX_LD-2012385	famous politician vegetarian
INEX_LD-2012387	famous river confluence dam construct
INEX_LD-2012389	frequent visit shark gulf indian ocean
INEX_LD-2012390	baseball player homerun national league
INEX_XER-60	olympic class dinghy sailing
INEX_XER-62	neil gaiman novel
INEX_XER-63	hugo award best novel
INEX_XER-64	alan moore graphic novel adapt film
INEX_XER-65	pacific navigator australia explore
INEX_XER-67	ferri observation wheels
INEX_XER-72	film shot venice
INEX_XER-73	magazine indie music
INEX_XER-74	circus mammal
INEX_XER-79	works charles rennie mackintosh
INEX_XER-81	movies english hooligan
INEX_XER-86	list country world war two
INEX_XER-87	axis powers world war ii
INEX_XER-88	nordic author known children literature
INEX_XER-91	paul auster novel
INEX_XER-94	hybrid car sold europe
INEX_XER-95	tom hank movies play leading role
INEX_XER-96	pure object orient program language
INEX_XER-97	compile compile c c
INEX_XER-98	maker lawn tennis rackets
INEX_XER-99	computer system recursive acronym name
INEX_XER-100	operate system steve job related
INEX_XER-106	noble english person hundred years war
INEX_XER-108	state capitals united states america
INEX_XER-109	national capitals situated island
INEX_XER-110	nobel prize literature winner poet
INEX_XER-113	formula 1 driver won monaco grand prix
INEX_XER-114	formula races europe
INEX_XER-115	formula world constructor champion
INEX_XER-116	italy nobel prize winner
INEX_XER-117	musician appear blues brother movies
INEX_XER-118	france car model 1960 s
INEX_XER-119	switzerland canton speak germany
INEX_XER-121	us president 1960
INEX_XER-122	movies eight academy award
INEX_XER-123	fifa world cup national team winner 1974
INEX_XER-124	novel won book prize
INEX_XER-125	country won fifa world cup
INEX_XER-126	toy train manufacturer business
INEX_XER-127	germany female politician
INEX_XER-128	bond girl
INEX_XER-129	science fiction book written 1980
INEX_XER-130	star trek captain
INEX_XER-132	living nordic classical composer
INEX_XER-133	eu country
INEX_XER-134	record break sprint male 100 meter sprint
INEX_XER-135	professional baseball team japan
INEX_XER-136	japan player major league baseball
INEX_XER-138	national park east coast canada us
INEX_XER-139	film direct akira kurosawa
INEX_XER-140	airport germany
INEX_XER-141	university catalunya
INEX_XER-143	hanseatic league germany netherlands circle
INEX_XER-144	chess world champion
INEX_XER-147	chemical elements name people
QALD2_te-1	germany city 250000 inhabitant
QALD2_te-2	successor john f kennedy
QALD2_te-3	mayor berlin
QALD2_te-5	second highest mountain earth
QALD2_te-6	give professional skateboard sweden
QALD2_te-8	country himalayan mountain system extend
QALD2_te-9	give list trumpet player bandleader
QALD2_te-11	formula 1 race driver races
QALD2_te-12	give world heritage site designate past five years
QALD2_te-13	youngest player premier league
QALD2_te-14	give member prodigy
QALD2_te-15	longest river
QALD2_te-17	give car produce germany
QALD2_te-19	give people born vienna die berlin
QALD2_te-21	capital canada
QALD2_te-22	governor texas
QALD2_te-24	father queen elizabeth ii
QALD2_te-25	us state admitted latest
QALD2_te-27	sean parnell governor us state
QALD2_te-28	give movies direct francis ford coppola
QALD2_te-29	give actor star movies direct star william shatner
