qid	ngramtype	gram	field	featurename	featurevalue
INEX_LD-20120111	unigram	vietnam	names	cf	-9.328665119144256
INEX_LD-20120111	unigram	vietnam	attributes	cf	-9.435883657214523
INEX_LD-20120111	unigram	vietnam	similarentitynames	cf	-9.70662393127098
INEX_LD-20120111	unigram	vietnam	categories	cf	-8.412276199432526
INEX_LD-20120111	unigram	vietnam	outgoingentitynames	cf	-9.049498980585993
INEX_LD-20120111	unigram	war	names	cf	-6.942909486475642
INEX_LD-20120111	unigram	war	attributes	cf	-6.8680055791108074
INEX_LD-20120111	unigram	war	similarentitynames	cf	-7.039493280905873
INEX_LD-20120111	unigram	war	categories	cf	-5.690703397894197
INEX_LD-20120111	unigram	war	outgoingentitynames	cf	-7.052437724416371
INEX_LD-20120111	unigram	movie	names	cf	-8.44199254823954
INEX_LD-20120111	unigram	movie	attributes	cf	-8.635564684753742
INEX_LD-20120111	unigram	movie	similarentitynames	cf	-7.919410924373102
INEX_LD-20120111	unigram	movie	categories	cf	-10.307566152622448
INEX_LD-20120111	unigram	movie	outgoingentitynames	cf	-11.308065117767745
INEX_LD-20120111	bigram	vietnam war	names	cf	-11.331685188961897
INEX_LD-20120111	bigram	vietnam war	attributes	cf	-10.99677889960247
INEX_LD-20120111	bigram	vietnam war	similarentitynames	cf	-11.908247987766684
INEX_LD-20120111	bigram	vietnam war	categories	cf	-9.154258403304203
INEX_LD-20120111	bigram	vietnam war	outgoingentitynames	cf	-10.908830559410218
INEX_LD-20120111	bigram	war movie	names	cf	-14.755540594516635
INEX_LD-20120111	bigram	war movie	attributes	cf	-15.056373613759831
INEX_LD-20120111	bigram	war movie	similarentitynames	cf	-14.441944801724118
INEX_LD-20120111	bigram	war movie	categories	cf	-Infinity
INEX_LD-20120111	bigram	war movie	outgoingentitynames	cf	-Infinity
INEX_LD-20120112	unigram	vietnam	names	cf	-9.328665119144256
INEX_LD-20120112	unigram	vietnam	attributes	cf	-9.435883657214523
INEX_LD-20120112	unigram	vietnam	similarentitynames	cf	-9.70662393127098
INEX_LD-20120112	unigram	vietnam	categories	cf	-8.412276199432526
INEX_LD-20120112	unigram	vietnam	outgoingentitynames	cf	-9.049498980585993
INEX_LD-20120112	unigram	war	names	cf	-6.942909486475642
INEX_LD-20120112	unigram	war	attributes	cf	-6.8680055791108074
INEX_LD-20120112	unigram	war	similarentitynames	cf	-7.039493280905873
INEX_LD-20120112	unigram	war	categories	cf	-5.690703397894197
INEX_LD-20120112	unigram	war	outgoingentitynames	cf	-7.052437724416371
INEX_LD-20120112	unigram	fact	names	cf	-10.799500703671715
INEX_LD-20120112	unigram	fact	attributes	cf	-9.215422244535096
INEX_LD-20120112	unigram	fact	similarentitynames	cf	-10.973088771588147
INEX_LD-20120112	unigram	fact	categories	cf	-11.702856076650916
INEX_LD-20120112	unigram	fact	outgoingentitynames	cf	-12.898025223242275
INEX_LD-20120112	bigram	vietnam war	names	cf	-11.331685188961897
INEX_LD-20120112	bigram	vietnam war	attributes	cf	-10.99677889960247
INEX_LD-20120112	bigram	vietnam war	similarentitynames	cf	-11.908247987766684
INEX_LD-20120112	bigram	vietnam war	categories	cf	-9.154258403304203
INEX_LD-20120112	bigram	vietnam war	outgoingentitynames	cf	-10.908830559410218
INEX_LD-20120112	bigram	war fact	names	cf	-Infinity
INEX_LD-20120112	bigram	war fact	attributes	cf	-16.641518833624886
INEX_LD-20120112	bigram	war fact	similarentitynames	cf	-Infinity
INEX_LD-20120112	bigram	war fact	categories	cf	-Infinity
INEX_LD-20120112	bigram	war fact	outgoingentitynames	cf	-Infinity
INEX_LD-20120121	unigram	vietnam	names	cf	-9.328665119144256
INEX_LD-20120121	unigram	vietnam	attributes	cf	-9.435883657214523
INEX_LD-20120121	unigram	vietnam	similarentitynames	cf	-9.70662393127098
INEX_LD-20120121	unigram	vietnam	categories	cf	-8.412276199432526
INEX_LD-20120121	unigram	vietnam	outgoingentitynames	cf	-9.049498980585993
INEX_LD-20120121	unigram	food	names	cf	-8.809302257513853
INEX_LD-20120121	unigram	food	attributes	cf	-8.761561408331543
INEX_LD-20120121	unigram	food	similarentitynames	cf	-8.693826513247863
INEX_LD-20120121	unigram	food	categories	cf	-8.455826108557098
INEX_LD-20120121	unigram	food	outgoingentitynames	cf	-10.19404420374679
INEX_LD-20120121	unigram	recipe	names	cf	-12.459225114536185
INEX_LD-20120121	unigram	recipe	attributes	cf	-11.362180433674654
INEX_LD-20120121	unigram	recipe	similarentitynames	cf	-12.793286176136736
INEX_LD-20120121	unigram	recipe	categories	cf	-17.507991045567405
INEX_LD-20120121	unigram	recipe	outgoingentitynames	cf	-14.64026962794295
INEX_LD-20120121	bigram	vietnam food	names	cf	-16.834982136196473
INEX_LD-20120121	bigram	vietnam food	attributes	cf	-17.914484509437774
INEX_LD-20120121	bigram	vietnam food	similarentitynames	cf	-Infinity
INEX_LD-20120121	bigram	vietnam food	categories	cf	-17.10252593745924
INEX_LD-20120121	bigram	vietnam food	outgoingentitynames	cf	-Infinity
INEX_LD-20120121	bigram	food recipe	names	cf	-Infinity
INEX_LD-20120121	bigram	food recipe	attributes	cf	-16.72490044256394
INEX_LD-20120121	bigram	food recipe	similarentitynames	cf	-Infinity
INEX_LD-20120121	bigram	food recipe	categories	cf	-Infinity
INEX_LD-20120121	bigram	food recipe	outgoingentitynames	cf	-Infinity
INEX_LD-20120122	unigram	viet	names	cf	-10.174406986356786
INEX_LD-20120122	unigram	viet	attributes	cf	-10.670256993834425
INEX_LD-20120122	unigram	viet	similarentitynames	cf	-10.51208187816764
INEX_LD-20120122	unigram	viet	categories	cf	-9.658667227526845
INEX_LD-20120122	unigram	viet	outgoingentitynames	cf	-11.33907943009612
INEX_LD-20120122	unigram	food	names	cf	-8.809302257513853
INEX_LD-20120122	unigram	food	attributes	cf	-8.761561408331543
INEX_LD-20120122	unigram	food	similarentitynames	cf	-8.693826513247863
INEX_LD-20120122	unigram	food	categories	cf	-8.455826108557098
INEX_LD-20120122	unigram	food	outgoingentitynames	cf	-10.19404420374679
INEX_LD-20120122	unigram	blog	names	cf	-11.383943682630772
INEX_LD-20120122	unigram	blog	attributes	cf	-10.565713138083154
INEX_LD-20120122	unigram	blog	similarentitynames	cf	-11.07120662754667
INEX_LD-20120122	unigram	blog	categories	cf	-10.809722991451991
INEX_LD-20120122	unigram	blog	outgoingentitynames	cf	-12.494253595640444
INEX_LD-20120122	bigram	viet food	names	cf	-17.528129316756417
INEX_LD-20120122	bigram	viet food	attributes	cf	-17.78095311681325
INEX_LD-20120122	bigram	viet food	similarentitynames	cf	-16.744529894718163
INEX_LD-20120122	bigram	viet food	categories	cf	-Infinity
INEX_LD-20120122	bigram	viet food	outgoingentitynames	cf	-Infinity
INEX_LD-20120122	bigram	food blog	names	cf	-17.528129316756417
INEX_LD-20120122	bigram	food blog	attributes	cf	-16.769352205134773
INEX_LD-20120122	bigram	food blog	similarentitynames	cf	-Infinity
INEX_LD-20120122	bigram	food blog	categories	cf	-Infinity
INEX_LD-20120122	bigram	food blog	outgoingentitynames	cf	-Infinity
INEX_LD-20120131	unigram	vietnam	names	cf	-9.328665119144256
INEX_LD-20120131	unigram	vietnam	attributes	cf	-9.435883657214523
INEX_LD-20120131	unigram	vietnam	similarentitynames	cf	-9.70662393127098
INEX_LD-20120131	unigram	vietnam	categories	cf	-8.412276199432526
INEX_LD-20120131	unigram	vietnam	outgoingentitynames	cf	-9.049498980585993
INEX_LD-20120131	unigram	travel	names	cf	-9.98062763394145
INEX_LD-20120131	unigram	travel	attributes	cf	-9.108788154186138
INEX_LD-20120131	unigram	travel	similarentitynames	cf	-9.935490588675183
INEX_LD-20120131	unigram	travel	categories	cf	-9.486406512112298
INEX_LD-20120131	unigram	travel	outgoingentitynames	cf	-11.225636343583966
INEX_LD-20120131	unigram	national	names	cf	-6.31614679555481
INEX_LD-20120131	unigram	national	attributes	cf	-6.441048593754023
INEX_LD-20120131	unigram	national	similarentitynames	cf	-6.340782338520826
INEX_LD-20120131	unigram	national	categories	cf	-5.7350502265071155
INEX_LD-20120131	unigram	national	outgoingentitynames	cf	-6.643879203099511
INEX_LD-20120131	unigram	park	names	cf	-6.6413280999156425
INEX_LD-20120131	unigram	park	attributes	cf	-7.283444898974698
INEX_LD-20120131	unigram	park	similarentitynames	cf	-6.633621751333061
INEX_LD-20120131	unigram	park	categories	cf	-7.325887392593242
INEX_LD-20120131	unigram	park	outgoingentitynames	cf	-7.097050016407569
INEX_LD-20120131	bigram	vietnam travel	names	cf	-Infinity
INEX_LD-20120131	bigram	vietnam travel	attributes	cf	-19.86039465849309
INEX_LD-20120131	bigram	vietnam travel	similarentitynames	cf	-Infinity
INEX_LD-20120131	bigram	vietnam travel	categories	cf	-Infinity
INEX_LD-20120131	bigram	vietnam travel	outgoingentitynames	cf	-Infinity
INEX_LD-20120131	bigram	travel national	names	cf	-Infinity
INEX_LD-20120131	bigram	travel national	attributes	cf	-16.39465875569336
INEX_LD-20120131	bigram	travel national	similarentitynames	cf	-Infinity
INEX_LD-20120131	bigram	travel national	categories	cf	-Infinity
INEX_LD-20120131	bigram	travel national	outgoingentitynames	cf	-Infinity
INEX_LD-20120131	bigram	national park	names	cf	-8.524813114214561
INEX_LD-20120131	bigram	national park	attributes	cf	-9.254800184025543
INEX_LD-20120131	bigram	national park	similarentitynames	cf	-8.760748825740711
INEX_LD-20120131	bigram	national park	categories	cf	-8.927541404516152
INEX_LD-20120131	bigram	national park	outgoingentitynames	cf	-9.96541116014781
INEX_LD-20120132	unigram	vietnam	names	cf	-9.328665119144256
INEX_LD-20120132	unigram	vietnam	attributes	cf	-9.435883657214523
INEX_LD-20120132	unigram	vietnam	similarentitynames	cf	-9.70662393127098
INEX_LD-20120132	unigram	vietnam	categories	cf	-8.412276199432526
INEX_LD-20120132	unigram	vietnam	outgoingentitynames	cf	-9.049498980585993
INEX_LD-20120132	unigram	travel	names	cf	-9.98062763394145
INEX_LD-20120132	unigram	travel	attributes	cf	-9.108788154186138
INEX_LD-20120132	unigram	travel	similarentitynames	cf	-9.935490588675183
INEX_LD-20120132	unigram	travel	categories	cf	-9.486406512112298
INEX_LD-20120132	unigram	travel	outgoingentitynames	cf	-11.225636343583966
INEX_LD-20120132	unigram	airport	names	cf	-6.923030505248214
INEX_LD-20120132	unigram	airport	attributes	cf	-8.229250697137708
INEX_LD-20120132	unigram	airport	similarentitynames	cf	-7.080315275426128
INEX_LD-20120132	unigram	airport	categories	cf	-8.032060847614257
INEX_LD-20120132	unigram	airport	outgoingentitynames	cf	-9.673177418481309
INEX_LD-20120132	bigram	vietnam travel	names	cf	-Infinity
INEX_LD-20120132	bigram	vietnam travel	attributes	cf	-19.86039465849309
INEX_LD-20120132	bigram	vietnam travel	similarentitynames	cf	-Infinity
INEX_LD-20120132	bigram	vietnam travel	categories	cf	-Infinity
INEX_LD-20120132	bigram	vietnam travel	outgoingentitynames	cf	-Infinity
INEX_LD-20120132	bigram	travel airport	names	cf	-Infinity
