ngramtype	qid	gram	names	attributes	similarentitynames	categories	outgoingentitynames
unigram	INEX_LD-20120111	vietnam	8.884074979444438E-5	7.980825145083757E-5	6.087889888191279E-5	2.221236832595491E-4	1.1744986684388162E-4
unigram	INEX_LD-20120111	war	9.654565241470452E-4	0.0010405502917224438	8.765706248141964E-4	0.003377216606661055	8.652970285088397E-4
unigram	INEX_LD-20120111	movie	2.156200885365575E-4	1.7767319385353654E-4	3.6361646101286453E-4	3.337958232228281E-5	1.2273536496234276E-5
bigram	INEX_LD-20120111	vietnam war	1.1987031643053638E-5	1.67555853825515E-5	6.73462797113346E-6	1.0576843771672596E-4	1.82959550254424E-5
bigram	INEX_LD-20120111	war movie	3.906161024212998E-7	2.8913457095774863E-7	5.344942834232905E-7	0.0	0.0
unigram	INEX_LD-20120112	vietnam	8.884074979444438E-5	7.980825145083757E-5	6.087889888191279E-5	2.221236832595491E-4	1.1744986684388162E-4
unigram	INEX_LD-20120112	war	9.654565241470452E-4	0.0010405502917224438	8.765706248141964E-4	0.003377216606661055	8.652970285088397E-4
unigram	INEX_LD-20120112	facts	4.882701280266248E-8	5.924888749134193E-8	1.068988566846581E-7	0.0	0.0
bigram	INEX_LD-20120112	vietnam war	1.1987031643053638E-5	1.67555853825515E-5	6.73462797113346E-6	1.0576843771672596E-4	1.82959550254424E-5
bigram	INEX_LD-20120112	war facts	0.0	0.0	0.0	0.0	0.0
unigram	INEX_LD-20120121	vietnam	8.884074979444438E-5	7.980825145083757E-5	6.087889888191279E-5	2.221236832595491E-4	1.1744986684388162E-4
unigram	INEX_LD-20120121	food	1.493374186569432E-4	1.5663983879411015E-4	1.676174072815439E-4	2.1265783155621516E-4	3.7392358083247906E-5
unigram	INEX_LD-20120121	recipes	0.0	0.0	0.0	0.0	0.0
bigram	INEX_LD-20120121	vietnam food	4.882701280266248E-8	1.6589688497575742E-8	0.0	3.7365204092107616E-8	0.0
bigram	INEX_LD-20120121	food recipes	0.0	0.0	0.0	0.0	0.0
unigram	INEX_LD-20120122	vietnamese	0.0	1.1849777498268386E-8	0.0	0.0	0.0
unigram	INEX_LD-20120122	food	1.493374186569432E-4	1.5663983879411015E-4	1.676174072815439E-4	2.1265783155621516E-4	3.7392358083247906E-5
unigram	INEX_LD-20120122	blog	1.1376693983020358E-5	2.578511583623201E-5	1.5553783647617753E-5	2.020212034579952E-5	3.7481296753510472E-6
bigram	INEX_LD-20120122	vietnamese food	0.0	0.0	0.0	0.0	0.0
