qid	ngramtype	gram	featurename	featurevalue
INEX_LD-20120111	unigram	vietnam	collectiontf	9.824877151954217
INEX_LD-20120111	unigram	war	collectiontf	11.821938408123838
INEX_LD-20120111	unigram	movie	collectiontf	7.566311014772463
INEX_LD-20120111	bigram	vietnam war	collectiontf	7.965545573129992
INEX_LD-20120111	bigram	war movie	collectiontf	-Infinity
INEX_LD-20120112	unigram	vietnam	collectiontf	9.824877151954217
INEX_LD-20120112	unigram	war	collectiontf	11.821938408123838
INEX_LD-20120112	unigram	fact	collectiontf	5.976350909297934
INEX_LD-20120112	bigram	vietnam war	collectiontf	7.965545573129992
INEX_LD-20120112	bigram	war fact	collectiontf	-Infinity
INEX_LD-20120121	unigram	vietnam	collectiontf	9.824877151954217
INEX_LD-20120121	unigram	food	collectiontf	8.680331928793418
INEX_LD-20120121	unigram	recipe	collectiontf	4.23410650459726
INEX_LD-20120121	bigram	vietnam food	collectiontf	-Infinity
INEX_LD-20120121	bigram	food recipe	collectiontf	-Infinity
INEX_LD-20120122	unigram	viet	collectiontf	7.5352967024440884
INEX_LD-20120122	unigram	food	collectiontf	8.680331928793418
INEX_LD-20120122	unigram	blog	collectiontf	6.380122536899765
INEX_LD-20120122	bigram	viet food	collectiontf	-Infinity
INEX_LD-20120122	bigram	food blog	collectiontf	-Infinity
INEX_LD-20120131	unigram	vietnam	collectiontf	9.824877151954217
INEX_LD-20120131	unigram	travel	collectiontf	7.6487397889562425
INEX_LD-20120131	unigram	national	collectiontf	12.230496929440697
INEX_LD-20120131	unigram	park	collectiontf	11.77732611613264
INEX_LD-20120131	bigram	vietnam travel	collectiontf	-Infinity
INEX_LD-20120131	bigram	travel national	collectiontf	-Infinity
INEX_LD-20120131	bigram	national park	collectiontf	8.908964972392399
INEX_LD-20120132	unigram	vietnam	collectiontf	9.824877151954217
INEX_LD-20120132	unigram	travel	collectiontf	7.6487397889562425
INEX_LD-20120132	unigram	airport	collectiontf	9.201198714058899
INEX_LD-20120132	bigram	vietnam travel	collectiontf	-Infinity
INEX_LD-20120132	bigram	travel airport	collectiontf	-Infinity
INEX_LD-20120211	unigram	guitar	collectiontf	10.87719777527777
INEX_LD-20120211	unigram	chord	collectiontf	7.00033446027523
INEX_LD-20120211	unigram	tune	collectiontf	7.437206366871292
INEX_LD-20120211	bigram	guitar chord	collectiontf	-Infinity
INEX_LD-20120211	bigram	chord tune	collectiontf	-Infinity
INEX_LD-20120212	unigram	guitar	collectiontf	10.87719777527777
INEX_LD-20120212	unigram	chord	collectiontf	7.00033446027523
INEX_LD-20120212	unigram	minor	collectiontf	9.114600099695346
INEX_LD-20120212	bigram	guitar chord	collectiontf	-Infinity
INEX_LD-20120212	bigram	chord minor	collectiontf	-Infinity
INEX_LD-20120221	unigram	guitar	collectiontf	10.87719777527777
INEX_LD-20120221	unigram	classical	collectiontf	9.477998292597036
INEX_LD-20120221	unigram	flamenco	collectiontf	5.786897381366708
INEX_LD-20120221	bigram	guitar classical	collectiontf	5.056245805348308
INEX_LD-20120221	bigram	classical flamenco	collectiontf	-Infinity
INEX_LD-20120222	unigram	guitar	collectiontf	10.87719777527777
INEX_LD-20120222	unigram	classical	collectiontf	9.477998292597036
INEX_LD-20120222	unigram	bach	collectiontf	7.323170717943469
INEX_LD-20120222	bigram	guitar classical	collectiontf	5.056245805348308
INEX_LD-20120222	bigram	classical bach	collectiontf	-Infinity
INEX_LD-20120231	unigram	guitar	collectiontf	10.87719777527777
INEX_LD-20120231	unigram	origin	collectiontf	11.360857614547074
INEX_LD-20120231	unigram	russia	collectiontf	11.41132453985355
INEX_LD-20120231	bigram	guitar origin	collectiontf	5.8805329864007
INEX_LD-20120231	bigram	origin russia	collectiontf	4.77912349311153
INEX_LD-20120232	unigram	guitar	collectiontf	10.87719777527777
INEX_LD-20120232	unigram	origin	collectiontf	11.360857614547074
INEX_LD-20120232	unigram	blues	collectiontf	11.699960893990403
INEX_LD-20120232	bigram	guitar origin	collectiontf	5.8805329864007
INEX_LD-20120232	bigram	origin blues	collectiontf	-Infinity
INEX_LD-20120311	unigram	tango	collectiontf	8.929832503272403
INEX_LD-20120311	unigram	culture	collectiontf	10.228284757576837
INEX_LD-20120311	unigram	movies	collectiontf	6.8679744089702925
INEX_LD-20120311	bigram	tango culture	collectiontf	-Infinity
INEX_LD-20120311	bigram	culture movies	collectiontf	-Infinity
INEX_LD-20120312	unigram	tango	collectiontf	8.929832503272403
INEX_LD-20120312	unigram	culture	collectiontf	10.228284757576837
INEX_LD-20120312	unigram	country	collectiontf	12.926088118951263
INEX_LD-20120312	bigram	tango culture	collectiontf	-Infinity
INEX_LD-20120312	bigram	culture country	collectiontf	4.955827057601261
INEX_LD-20120321	unigram	tango	collectiontf	8.929832503272403
INEX_LD-20120321	unigram	music	collectiontf	13.433926513717681
INEX_LD-20120321	unigram	composer	collectiontf	9.436678814186912
INEX_LD-20120321	bigram	tango music	collectiontf	4.762173934797756
INEX_LD-20120321	bigram	music composer	collectiontf	5.099866427824199
INEX_LD-20120322	unigram	tango	collectiontf	8.929832503272403
INEX_LD-20120322	unigram	music	collectiontf	13.433926513717681
INEX_LD-20120322	unigram	instrument	collectiontf	10.857035532765991
INEX_LD-20120322	bigram	tango music	collectiontf	4.762173934797756
INEX_LD-20120322	bigram	music instrument	collectiontf	7.427738840532894
INEX_LD-20120331	unigram	tango	collectiontf	8.929832503272403
INEX_LD-20120331	unigram	dance	collectiontf	10.707661664255449
INEX_LD-20120331	unigram	style	collectiontf	9.558600006313569
INEX_LD-20120331	bigram	tango dance	collectiontf	1.6094379124341003
INEX_LD-20120331	bigram	dance style	collectiontf	3.258096538021482
INEX_LD-20120332	unigram	tango	collectiontf	8.929832503272403
INEX_LD-20120332	unigram	dance	collectiontf	10.707661664255449
INEX_LD-20120332	unigram	history	collectiontf	11.091269997463336
INEX_LD-20120332	bigram	tango dance	collectiontf	1.6094379124341003
INEX_LD-20120332	bigram	dance history	collectiontf	1.6094379124341003
INEX_LD-20120411	unigram	bicycle	collectiontf	7.669028288589683
INEX_LD-20120411	unigram	sport	collectiontf	11.657129699651055
INEX_LD-20120411	unigram	races	collectiontf	7.419979923661835
INEX_LD-20120411	bigram	bicycle sport	collectiontf	-Infinity
INEX_LD-20120411	bigram	sport races	collectiontf	-Infinity
INEX_LD-20120412	unigram	bicycle	collectiontf	7.669028288589683
INEX_LD-20120412	unigram	sport	collectiontf	11.657129699651055
INEX_LD-20120412	unigram	discipline	collectiontf	6.6293632534374485
INEX_LD-20120412	bigram	bicycle sport	collectiontf	-Infinity
INEX_LD-20120412	bigram	sport discipline	collectiontf	-Infinity
INEX_LD-20120421	unigram	bicycle	collectiontf	7.669028288589683
INEX_LD-20120421	unigram	holiday	collectiontf	8.326758814511733
INEX_LD-20120421	unigram	town	collectiontf	12.574040088518169
INEX_LD-20120421	bigram	bicycle holiday	collectiontf	-Infinity
INEX_LD-20120421	bigram	holiday town	collectiontf	-Infinity
INEX_LD-20120422	unigram	bicycle	collectiontf	7.669028288589683
INEX_LD-20120422	unigram	holiday	collectiontf	8.326758814511733
INEX_LD-20120422	unigram	nature	collectiontf	8.167919362957816
INEX_LD-20120422	bigram	bicycle holiday	collectiontf	-Infinity
INEX_LD-20120422	bigram	holiday nature	collectiontf	-Infinity
INEX_LD-20120431	unigram	bicycle	collectiontf	7.669028288589683
INEX_LD-20120431	unigram	benefit	collectiontf	5.056245805348308
INEX_LD-20120431	unigram	health	collectiontf	8.993799971795545
INEX_LD-20120431	bigram	bicycle benefit	collectiontf	-Infinity
INEX_LD-20120431	bigram	benefit health	collectiontf	-Infinity
INEX_LD-20120432	unigram	bicycle	collectiontf	7.669028288589683
INEX_LD-20120432	unigram	benefit	collectiontf	5.056245805348308
INEX_LD-20120432	unigram	environment	collectiontf	8.823206220552741
INEX_LD-20120432	bigram	bicycle benefit	collectiontf	-Infinity
INEX_LD-20120432	bigram	benefit environment	collectiontf	-Infinity
INEX_LD-20120511	unigram	female	collectiontf	7.86403565907245
INEX_LD-20120511	unigram	rock	collectiontf	13.36020636075722
INEX_LD-20120511	unigram	singe	collectiontf	10.638256407786892
INEX_LD-20120511	bigram	female rock	collectiontf	1.791759469228055
INEX_LD-20120511	bigram	rock singe	collectiontf	5.8944028342648505
INEX_LD-20120512	unigram	south	collectiontf	12.507161938189274
INEX_LD-20120512	unigram	korea	collectiontf	11.003482218613488
INEX_LD-20120512	unigram	girl	collectiontf	9.496871782670567
INEX_LD-20120512	unigram	group	collectiontf	11.606588834981899
INEX_LD-20120512	bigram	south korea	collectiontf	10.224773632401687
INEX_LD-20120512	bigram	korea girl	collectiontf	0.0
INEX_LD-20120512	bigram	girl group	collectiontf	4.804021044733257
INEX_LD-20120521	unigram	electronic	collectiontf	9.903087472514787
INEX_LD-20120521	unigram	music	collectiontf	13.433926513717681
INEX_LD-20120521	unigram	genre	collectiontf	12.943308479266454
INEX_LD-20120521	bigram	electronic music	collectiontf	8.820994645747902
INEX_LD-20120521	bigram	music genre	collectiontf	10.611621862904322
INEX_LD-20120522	unigram	digital	collectiontf	8.465689348549121
INEX_LD-20120522	unigram	music	collectiontf	13.433926513717681
INEX_LD-20120522	unigram	notation	collectiontf	4.465908118654584
INEX_LD-20120522	unigram	format	collectiontf	11.130624973392523
INEX_LD-20120522	bigram	digital music	collectiontf	2.302585092994046
INEX_LD-20120522	bigram	music notation	collectiontf	1.3862943611198906
INEX_LD-20120522	bigram	notation format	collectiontf	-Infinity
INEX_LD-20120531	unigram	music	collectiontf	13.433926513717681
INEX_LD-20120531	unigram	conference	collectiontf	9.761578306353435
INEX_LD-20120531	bigram	music conference	collectiontf	-Infinity
INEX_LD-20120532	unigram	intellectual	collectiontf	5.62040086571715
INEX_LD-20120532	unigram	property	collectiontf	9.292657414465397
INEX_LD-20120532	unigram	rights	collectiontf	9.296151028389293
INEX_LD-20120532	unigram	lobby	collectiontf	5.318119993844216
INEX_LD-20120532	bigram	intellectual property	collectiontf	5.147494476813453
INEX_LD-20120532	bigram	property rights	collectiontf	-Infinity
INEX_LD-20120532	bigram	rights lobby	collectiontf	-Infinity
INEX_LD-2009022	unigram	szechwan	collectiontf	-Infinity
INEX_LD-2009022	unigram	dish	collectiontf	5.480638923341991
INEX_LD-2009022	unigram	food	collectiontf	8.680331928793418
INEX_LD-2009022	unigram	cuisine	collectiontf	8.165932137321585
INEX_LD-2009022	bigram	szechwan dish	collectiontf	-Infinity
INEX_LD-2009022	bigram	dish food	collectiontf	-Infinity
INEX_LD-2009022	bigram	food cuisine	collectiontf	0.6931471805599453
INEX_LD-2009039	unigram	roman	collectiontf	10.760261798384528
INEX_LD-2009039	unigram	architecture	collectiontf	10.437873440711131
INEX_LD-2009039	bigram	roman architecture	collectiontf	4.553876891600541
INEX_LD-2009053	unigram	finland	collectiontf	10.581774870189049
INEX_LD-2009053	unigram	car	collectiontf	9.395823592107716
INEX_LD-2009053	unigram	industry	collectiontf	10.873849716198011
INEX_LD-2009053	unigram	manufacturer	collectiontf	9.965898812657525
INEX_LD-2009053	unigram	saab	collectiontf	5.932245187448011
INEX_LD-2009053	unigram	sisu	collectiontf	1.9459101490553132
INEX_LD-2009053	bigram	finland car	collectiontf	-Infinity
INEX_LD-2009053	bigram	car industry	collectiontf	2.302585092994046
INEX_LD-2009053	bigram	industry manufacturer	collectiontf	3.9512437185814275
INEX_LD-2009053	bigram	manufacturer saab	collectiontf	3.6888794541139363
INEX_LD-2009053	bigram	saab sisu	collectiontf	-Infinity
INEX_LD-2009061	unigram	france	collectiontf	12.644340479603889
INEX_LD-2009061	unigram	second	collectiontf	10.523445569477712
INEX_LD-2009061	unigram	world	collectiontf	12.197526228728332
INEX_LD-2009061	unigram	war	collectiontf	11.821938408123838
INEX_LD-2009061	unigram	normandy	collectiontf	9.399554785027307
INEX_LD-2009061	bigram	france second	collectiontf	4.787491742782046
INEX_LD-2009061	bigram	second world	collectiontf	3.1780538303479458
INEX_LD-2009061	bigram	world war	collectiontf	10.662282014331929
INEX_LD-2009061	bigram	war normandy	collectiontf	0.0
INEX_LD-2009062	unigram	social	collectiontf	9.888932134526929
INEX_LD-2009062	unigram	network	collectiontf	10.963757408916045
INEX_LD-2009062	unigram	group	collectiontf	11.606588834981899
INEX_LD-2009062	unigram	selection	collectiontf	6.194405391104672
INEX_LD-2009062	bigram	social network	collectiontf	6.045005314036012
