qids	paper/5-fields/runs/fsdm/ALL.ALL-map	paper/5-fields/runs/pfsdm/ALL.ALL-map
INEX_LD-2009022	0.040	0.037
INEX_LD-2009039	0.106	0.086
INEX_LD-2009053	0.220	0.217
INEX_LD-2009061	0.048	0.044
INEX_LD-2009062	0.103	0.055
INEX_LD-2009063	0.134	0.133
INEX_LD-2009074	0.008	0.006
INEX_LD-2009096	0.029	0.061
INEX_LD-2009111	0.047	0.043
INEX_LD-2009115	0.210	0.212
INEX_LD-2010004	0.028	0.030
INEX_LD-2010014	0.025	0.023
INEX_LD-2010019	0.139	0.206
INEX_LD-2010020	0.013	0.009
INEX_LD-2010037	0.028	0.056
INEX_LD-2010043	0.074	0.064
INEX_LD-2010057	0.097	0.101
INEX_LD-2010069	0.025	0.015
INEX_LD-2010100	0.005	0.003
INEX_LD-2010106	0.153	0.116
INEX_LD-2012301	0.036	0.030
INEX_LD-2012303	0.466	0.301
INEX_LD-2012305	0.051	0.051
INEX_LD-2012307	0.000	0.000
INEX_LD-2012309	0.105	0.076
INEX_LD-2012311	0.038	0.045
INEX_LD-2012313	0.120	0.093
INEX_LD-2012315	0.027	0.065
INEX_LD-2012317	0.111	0.117
INEX_LD-2012318	0.270	0.258
INEX_LD-2012319	0.273	0.321
INEX_LD-2012321	0.118	0.114
INEX_LD-2012323	0.097	0.085
INEX_LD-2012325	0.018	0.014
INEX_LD-2012327	0.022	0.020
INEX_LD-2012329	0.104	0.131
INEX_LD-2012331	0.130	0.222
INEX_LD-2012333	0.106	0.118
INEX_LD-2012335	0.016	0.014
INEX_LD-2012336	0.294	0.294
INEX_LD-2012337	0.005	0.004
INEX_LD-2012339	0.192	0.236
INEX_LD-2012341	0.091	0.129
INEX_LD-2012343	0.250	0.215
INEX_LD-2012345	0.282	0.194
INEX_LD-2012347	0.125	0.148
INEX_LD-2012349	0.105	0.111
INEX_LD-2012351	0.136	0.133
INEX_LD-2012353	0.144	0.140
INEX_LD-2012354	0.076	0.058
INEX_LD-2012355	0.012	0.083
INEX_LD-2012357	0.019	0.036
INEX_LD-2012359	0.167	0.333
INEX_LD-2012361	0.005	0.003
INEX_LD-2012363	0.163	0.254
INEX_LD-2012365	0.427	0.604
INEX_LD-2012367	0.257	0.273
INEX_LD-2012369	0.001	0.002
INEX_LD-2012371	0.026	0.033
INEX_LD-2012372	0.059	0.035
INEX_LD-2012373	0.029	0.017
INEX_LD-2012375	0.355	0.318
INEX_LD-2012377	0.009	0.000
INEX_LD-2012379	0.014	0.034
INEX_LD-2012381	0.088	0.179
INEX_LD-2012383	0.071	0.050
INEX_LD-2012385	0.021	0.051
INEX_LD-2012387	0.126	0.111
INEX_LD-2012389	0.066	0.055
INEX_LD-2012390	0.019	0.014
INEX_LD-20120111	0.022	0.009
INEX_LD-20120112	0.044	0.034
INEX_LD-20120121	0.059	0.059
INEX_LD-20120122	0.013	0.009
INEX_LD-20120131	0.235	0.269
INEX_LD-20120132	0.143	0.202
INEX_LD-20120211	0.310	0.317
INEX_LD-20120212	0.317	0.350
INEX_LD-20120221	0.222	0.212
INEX_LD-20120222	0.077	0.068
INEX_LD-20120231	0.047	0.027
INEX_LD-20120232	0.036	0.030
INEX_LD-20120311	0.153	0.134
INEX_LD-20120312	0.101	0.075
INEX_LD-20120321	0.116	0.077
INEX_LD-20120322	0.074	0.076
INEX_LD-20120331	0.247	0.270
INEX_LD-20120332	0.175	0.188
INEX_LD-20120411	0.094	0.085
INEX_LD-20120412	0.110	0.101
INEX_LD-20120421	0.017	0.017
INEX_LD-20120422	0.015	0.012
INEX_LD-20120431	0.005	0.009
INEX_LD-20120432	0.021	0.019
INEX_LD-20120511	0.114	0.130
INEX_LD-20120512	0.368	0.380
INEX_LD-20120521	0.108	0.098
INEX_LD-20120522	0.169	0.151
INEX_LD-20120531	0.220	0.224
INEX_LD-20120532	0.238	0.238
INEX_XER-60	0.511	0.537
INEX_XER-62	0.879	0.870
INEX_XER-63	0.679	0.726
INEX_XER-64	0.384	0.395
INEX_XER-65	0.204	0.208
INEX_XER-67	0.361	0.332
INEX_XER-72	0.073	0.144
INEX_XER-73	0.066	0.037
INEX_XER-74	0.000	0.000
INEX_XER-79	0.675	0.756
INEX_XER-81	0.073	0.102
INEX_XER-86	0.000	0.000
INEX_XER-87	0.001	0.000
INEX_XER-88	0.000	0.000
INEX_XER-91	0.793	0.766
INEX_XER-94	0.089	0.080
INEX_XER-95	0.073	0.181
INEX_XER-96	0.142	0.155
INEX_XER-97	0.313	0.303
INEX_XER-98	0.000	0.000
INEX_XER-99	0.282	0.306
INEX_XER-100	0.048	0.040
INEX_XER-106	0.076	0.074
INEX_XER-108	0.004	0.008
INEX_XER-109	0.000	0.003
INEX_XER-110	0.298	0.400
INEX_XER-113	0.230	0.328
INEX_XER-114	0.019	0.016
INEX_XER-115	0.273	0.344
INEX_XER-116	0.320	0.294
INEX_XER-117	0.062	0.108
INEX_XER-118	0.004	0.005
INEX_XER-119	0.185	0.229
INEX_XER-121	0.217	0.170
INEX_XER-122	0.125	0.108
INEX_XER-123	0.243	0.178
INEX_XER-124	0.691	0.719
INEX_XER-125	0.000	0.000
INEX_XER-126	0.124	0.125
INEX_XER-127	0.009	0.005
INEX_XER-128	0.058	0.000
INEX_XER-129	0.012	0.007
INEX_XER-130	0.723	0.699
INEX_XER-132	0.037	0.039
INEX_XER-133	0.002	0.000
INEX_XER-134	0.063	0.045
INEX_XER-135	0.034	0.010
INEX_XER-136	0.046	0.079
INEX_XER-138	0.009	0.007
INEX_XER-139	1.000	1.000
